gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_probability,risk_level,retention_action,estimated_annual_value
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.1,79.1,1,0.8724423740188049,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,949.2
Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.85,90.85,1,0.8715306653715162,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1090.2
Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.75,90.75,1,0.8714403892413924,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1089.0
Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,1037.75,1,0.871406195344269,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1182.0
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.55,179.25,1,0.8709409835249285,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1062.6
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.65,79.65,1,0.8705216518239477,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,955.8
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.95,700.85,1,0.8689570322901132,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1223.4
Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.1,90.1,0,0.8661410496856297,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1081.2
Female,1,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.25,69.25,1,0.8659017080763232,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,831.0
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.7,79.7,1,0.8647852167021953,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,956.4
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.25,80.25,1,0.8646766079910597,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,963.0
